Question,Answer1,Answer2,Answer3
q1a,25,,
q1b,0,,
q2a,Beauvais,7.7,
q2b,Nice,14.2,
q2c,Brest,15.5,
q2d,Ajaccio,22.5,
q2e,Ajaccio,515.8,
q2f,Biarritz,1819.4,
q2g,Brest,1363.2,
q2h,Ajaccio,2854.5,
q3a,3.25,,
q3b,4.32,,
q3c,82209.53,,
q3d,198650.13,,
q4a,9.79,,
q4b,9.2,,
q4c,1.8,,
q5a,1881.11,,
q5b,1694.0,,
q5c,445.7,,
q6a,Maximum_temperature,Sunshine_duration,0.95
q6b,Rainfall,Sunshine_duration,-0.33
q6c,Minimum_temperature,Rainfall,-0.01
q8a,71.54,,
q8b,24.93,,
q12a,5,,
q12b,0.974,,
q12c,0.981,,
q12d,58.02,,
q12e,-4.58,,
q13a,3.06,,
q13b,-4.44,,
q14a,0.0011,,
q14b,Yes,,
q16a,4095,,
q16b,8,,
q17,4.14,,
